"title","url","date","topics"
"White House Irresolute on Sending Troops to Iran","https://www.allsides.com/story/white-house-irresolute-issue-sending-troops-iran","2019-05-14","Middle East"
"Barr Orders Prosecutor To Examine Russia Inquiry Origins","https://www.allsides.com/story/barr-orders-prosecutor-examine-russia-inquiry-origins","2019-05-14","Politics"
"Sexual Assault Investigation into Julian Assange to be Reopened, Swedish Prosecutor Says","https://www.allsides.com/story/sexual-assault-investigation-julian-assange-be-reopened-swedish-prosecutor-says","2019-05-13","World"
"China Retaliates After US Warning By Hiking Tariffs","https://www.allsides.com/story/china-retaliates-after-us-warning-hiking-tariffs","2019-05-13","Trade"
"Google's ""Top Stories"" Section Heavily Biased- New Study Shows","https://www.allsides.com/story/googles-top-stories-section-heavily-biased-new-study-shows","2019-05-12","Media Bias"
"Kudlow Contradicts Trump, Says US Will Pay For China Tariffs","https://www.allsides.com/story/kudlow-contradicts-trump-says-us-will-pay-china-tariffs","2019-05-12","Trade"
"Terror Attack in Pakistan; One Dead after Pakistani Terrorist Group Storms Five-Star Hotel","https://www.allsides.com/story/terror-attack-pakistan-one-dead-after-pakistani-terrorist-group-storms-five-star-hotel","2019-05-11","World"
"Multiple Abortion-Related Bills Move Through State Legislatures","https://www.allsides.com/story/multiple-abortion-related-bills-move-through-state-legislatures","2019-05-10","Abortion"
"Trump Increases Tariffs on Chinese Goods","https://www.allsides.com/story/trump-increases-tariffs-chinese-goods","2019-05-10","Trade"
"North Korea Fires Pair of Short-Range Missiles, Twice in a Week","https://www.allsides.com/story/north-korea-fires-pair-short-range-missiles-twice-week","2019-05-09","Defense"
"School Shooting in Colorado, Near the Infamous Columbine High School","https://www.allsides.com/story/school-shooting-colorado-near-infamous-columbine-high-school","2019-05-08","Gun Control and Gun Rights"
"Trump to Impose 25 Percent Tariffs on Goods From China","https://www.allsides.com/story/trump-impose-25-percent-tariffs-goods-china","2019-05-07","Trade"
"Mitch McConnell Reflects on Mueller Probe: 'Case Closed'","https://www.allsides.com/story/mitch-mcconnell-reflects-mueller-probe-case-closed","2019-05-07","US Congress"
"Cory Booker Unveils Gun Control Plan","https://www.allsides.com/story/cory-booker-unveils-gun-control-plan","2019-05-06","Gun Control and Gun Rights"
"House Committee to Vote on Holding Barr in Contempt","https://www.allsides.com/story/house-committee-vote-holding-barr-contempt","2019-05-06","Justice"
"Mueller and House Judiciary Committee Reach 'Tentative Date' for Testimony","https://www.allsides.com/story/mueller-and-house-judiciary-committee-reach-tentative-date-testimony","2019-05-05","Russia"
"Trump and Putin Talk About About 'Russian Hoax'","https://www.allsides.com/story/trump-and-putin-talk-about-about-russian-hoax","2019-05-04","Russia"
"Federal Court Rules Ohio's Congressional Map Is Illegally Gerrymandered","https://www.allsides.com/story/federal-court-rules-ohios-congressional-map-illegally-gerrymandered","2019-05-03","Elections"
"April 2019 Jobs Report","https://www.allsides.com/story/april-2019-jobs-report","2019-05-03","Economy and Jobs"
"Facebook Bans Alex Jones, Milo Yiannopoulos, Paul Joseph Watson and Others It Calls ""Dangerous Individuals""","https://www.allsides.com/story/facebook-bans-alex-jones-milo-yiannopoulos-paul-joseph-watson-and-others-it-calls-dangerous","2019-05-02","Free Speech"
"Mueller vs Barr: Much ado about nothing or legitimate?","https://www.allsides.com/story/mueller-vs-barr-much-ado-about-nothing-or-legitimate","2019-05-02","Media Bias"
"Barr Testifies Before Congress Amid Reports Of Tensions With Mueller","https://www.allsides.com/story/barr-testifies-congress-amid-reports-tensions-mueller","2019-05-01","US Senate"
"Guaido Leads Marches In Venezuela But Maduro Remains In Power","https://www.allsides.com/story/guaido-leads-marches-venezuela-maduro-remains-power","2019-05-01","World"
"Trump Team Sues Capital One And Deutsche Bank Over Democrat Subpoenas","https://www.allsides.com/story/trump-team-sues-capital-one-and-deutsche-bank-over-democrat-subpoenas","2019-04-30","White House"
"Rabbi Speaks Out After Synagogue Shooting In San Diego","https://www.allsides.com/story/rabbi-speaks-out-after-synagogue-shooting-san-diego","2019-04-29","Violence in America"
